# Dataset Report: Modum (MOD)
# Coin Name: Modum
# Symbol: MOD
# Base Currency: BTC
# Approx Row Count: 1693
# Date Range: 2021-06-29 to 2026-02-15
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_MOD, Volume_BTC
# Note: Launched 2017. Swiss IoT/Supply chain project. Legacy data paired with BTC.
# --------------------------------------------------
Date,open,high,low,close,Volume_MOD,Volume_BTC
2022-11-18,9.41e-06,9.48e-06,9.29e-06,9.42e-06,2861.43,0.02689
2022-11-19,9.42e-06,9.48e-06,9.18e-06,9.35e-06,2974.73,0.02766
2022-11-20,9.35e-06,9.39e-06,8.81e-06,8.84e-06,6253.16,0.05662
2022-11-21,8.84e-06,8.88e-06,8.63e-06,8.74e-06,5276.52,0.04639
2022-11-22,8.74e-06,8.78e-06,8.57e-06,8.78e-06,2635.27,0.02287
2022-11-23,8.78e-06,9.11e-06,8.78e-06,9e-06,6064.23,0.05443
2022-11-24,9e-06,9.87e-06,8.87e-06,9.25e-06,8588.7,0.08102
2022-11-25,9.25e-06,9.46e-06,9.18e-06,9.45e-06,2331.59,0.02173
2022-11-26,9.45e-06,9.75e-06,9.43e-06,9.66e-06,2656.19,0.02555
2022-11-27,9.66e-06,9.7e-06,9.58e-06,9.58e-06,732.57,0.007061
2022-11-28,9.58e-06,9.58e-06,9.33e-06,9.4e-06,3000.57,0.02832
2022-11-29,9.4e-06,9.55e-06,9.4e-06,9.49e-06,1363.24,0.01291
2022-11-30,9.49e-06,9.74e-06,9.35e-06,9.64e-06,6678.21,0.06382
2022-12-01,9.64e-06,9.65e-06,9.5e-06,9.61e-06,1667.14,0.01596
2022-12-02,9.61e-06,9.65e-06,9.36e-06,9.44e-06,2089.57,0.01984
2022-12-03,9.44e-06,9.55e-06,9.42e-06,9.51e-06,1808.93,0.01715
2022-12-04,9.51e-06,9.51e-06,9.39e-06,9.41e-06,733.56,0.006927
2022-12-05,9.41e-06,9.58e-06,9.41e-06,9.49e-06,2459.41,0.02331
2022-12-06,9.49e-06,9.49e-06,9.15e-06,9.21e-06,1894.19,0.01759
2022-12-07,9.21e-06,9.29e-06,9.19e-06,9.27e-06,997.31,0.009222
2022-12-08,9.27e-06,9.32e-06,9.17e-06,9.23e-06,1354.71,0.01252
2022-12-09,9.23e-06,9.53e-06,9.12e-06,9.34e-06,6517.52,0.06106
2022-12-10,9.34e-06,9.34e-06,9.25e-06,9.25e-06,224.34,0.002083
2022-12-11,9.25e-06,9.33e-06,9.25e-06,9.33e-06,244.13,0.002271
2022-12-12,9.33e-06,9.4e-06,9.21e-06,9.25e-06,1077.29,0.01003
2022-12-13,9.25e-06,9.29e-06,9.01e-06,9.25e-06,2838.27,0.02597
2022-12-14,9.25e-06,9.58e-06,8.95e-06,9.39e-06,15070.46,0.1403
2022-12-15,9.39e-06,9.41e-06,9.24e-06,9.29e-06,1895.47,0.01768
2022-12-16,9.29e-06,9.3e-06,8.87e-06,8.89e-06,6005.1,0.05443
2022-12-17,8.89e-06,8.98e-06,8.85e-06,8.98e-06,1230.93,0.01097
