# Dataset Report: Siacoin (SC)
# Coin Name: Siacoin
# Symbol: SC
# Approx Row Count: 3824
# Date Range: 2015-08-25 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_SC, Volume_USD
# Note: Launched June 2015. Decentralized cloud storage network.
# --------------------------------------------------
Date,open,high,low,close,Volume_SC,Volume_USD
2016-05-29,0.0002411,0.0002632,0.0002271,0.0002477,133462837.57,33059.28
2016-05-30,0.0002477,0.0003087,0.0002502,0.0002927,350965508.78,102742.7
2016-05-31,0.0002927,0.0003438,0.0002909,0.0003068,403230553.07,123700.49
2016-06-01,0.0003068,0.0003386,0.0003009,0.0003332,204507556.88,68139.46
2016-06-02,0.0003332,0.0003437,0.0003008,0.0003115,181933620.37,56675.6
2016-06-03,0.0003115,0.0003516,0.0003119,0.0003232,176124405.86,56924.66
2016-06-04,0.0003232,0.0003375,0.0003146,0.0003317,110516955.17,36661.9
2016-06-05,0.0003317,0.0004197,0.0003277,0.0004197,617709242.23,259242.87
2016-06-06,0.0004197,0.0004552,0.0004143,0.0004435,508175406.92,225386.36
2016-06-07,0.0004435,0.0006792,0.0004317,0.0005698,2946214891.73,1678824.54
2016-06-08,0.0005698,0.0006676,0.0005225,0.0005457,1747153498.17,953385.67
2016-06-09,0.0005457,0.0005804,0.0005,0.000546,764932940.57,417619.35
2016-06-10,0.000546,0.0005548,0.0004796,0.000497,467002735.42,232093.54
2016-06-11,0.000497,0.0005561,0.0004792,0.0005029,393225592.2,197737.42
2016-06-12,0.0005029,0.0006132,0.0005132,0.0005666,709944110.72,402231.26
2016-06-13,0.0005666,0.0006441,0.0005531,0.0006371,721471871.74,459623.54
2016-06-14,0.0006371,0.0006851,0.0005824,0.0006372,653384938.56,416323.95
2016-06-15,0.0006372,0.00067,0.0006355,0.0006424,235739053.47,151442.56
2016-06-16,0.0006424,0.0008602,0.0006775,0.0008526,870955388.93,742537.55
2016-06-17,0.0008526,0.0009968,0.0007439,0.0009448,1479422550.51,1397688.89
2016-06-18,0.0009448,0.001003,0.0007839,0.0008291,678608444.06,562666.16
2016-06-19,0.0008291,0.0009513,0.0008067,0.0009209,353114184.8,325168.16
2016-06-20,0.0009209,0.0009101,0.0008367,0.0008954,267650981.06,239666.3
2016-06-21,0.0008954,0.0008276,0.0007475,0.0007875,503869877.51,396801.76
2016-06-22,0.0007875,0.000874,0.0006791,0.0008681,661437626.58,574209.35
2016-06-23,0.0008681,0.0009561,0.0008506,0.000894,339800566.99,303784.97
2016-06-24,0.000894,0.0009656,0.0007948,0.0008999,507551223.92,456765.29
2016-06-25,0.0008999,0.001095,0.0008559,0.001088,682712072.25,742908.71
2016-06-26,0.001088,0.001107,0.0009068,0.001001,1188486503.03,1189266.15
2016-06-27,0.001001,0.001077,0.0009799,0.0009928,614477759.28,610039.02
2016-06-28,0.0009928,0.001019,0.0007739,0.0009157,1227504302.64,1124079.45
2016-06-29,0.0009157,0.0009548,0.000662,0.0007766,1223402920.16,950068.77
2016-06-30,0.0007766,0.0009179,0.0007437,0.0007638,622797806.09,475707.16
2016-07-01,0.0007638,0.000823,0.0006881,0.0007825,499682789.57,391002.38
2016-07-02,0.0007825,0.0009075,0.0007888,0.0008097,401989427.7,325510.78
2016-07-03,0.0008097,0.0008072,0.000741,0.0007874,223514015.94,175984.12
2016-07-04,0.0007874,0.0008102,0.0007697,0.0007697,140061208.47,107802.65
2016-07-05,0.0007697,0.0007765,0.0006902,0.0007234,400430847.16,289671.79
2016-07-06,0.0007234,0.0007467,0.0006727,0.0006929,219806294.31,152299.61
2016-07-07,0.0006929,0.0007178,0.0005273,0.0006797,615740331.2,418529.48
2016-07-08,0.0006797,0.0007224,0.0006893,0.0007025,101739570.95,71476.81
2016-07-09,0.0007025,0.0007431,0.0006779,0.0007105,118248598.67,84015.0
2016-07-10,0.0007105,0.0007118,0.0006536,0.0006665,132324298.9,88197.23
2016-07-11,0.0006665,0.0006726,0.0005368,0.0006144,529896256.14,325554.75
2016-07-12,0.0006144,0.0006504,0.0005566,0.0006035,396906474.84,239534.65
