# Dataset Report: Simple Token (OST)
# Coin Name: Simple Token
# Symbol: OST
# Approx Row Count: 2818
# Date Range: 2018-01-18 to 2026-02-15
# Frequency: Daily
# Note: Launched 2017. Tokenization infrastructure (OpenST). Now a legacy asset.
# --------------------------------------------------
Date,open,high,low,close,Volume_OST,Volume_USD
2022-01-16,0.003119,0.003219,0.002994,0.003054,5786868.24,17673.1
2022-01-17,0.003054,0.003201,0.002975,0.003032,6535595.42,19815.93
2022-01-18,0.003032,0.003115,0.0029,0.003039,8237098.83,25032.54
2022-01-19,0.003039,0.003077,0.00285,0.002928,6721596.62,19680.83
2022-01-20,0.002928,0.0042,0.002818,0.003258,23223353.02,75661.68
2022-01-21,0.003258,0.0041,0.002429,0.002546,39568628.29,100741.73
2022-01-22,0.002546,0.002687,0.001817,0.001961,15789444.81,30963.1
2022-01-23,0.001961,0.002372,0.001953,0.00216,10811830.74,23353.55
2022-01-24,0.00216,0.002252,0.001889,0.002072,15509316.32,32135.3
2022-01-25,0.002072,0.002115,0.00191,0.001976,14176391.24,28012.18
2022-01-26,0.001976,0.002087,0.001892,0.001937,11662768.72,22590.02
2022-01-27,0.001937,0.001986,0.001872,0.001941,10750919.57,20867.53
2022-01-28,0.001941,0.001983,0.001924,0.001957,9135485.03,17878.14
2022-01-29,0.001957,0.002128,0.001943,0.002104,9342953.76,19657.57
2022-01-30,0.002104,0.002284,0.001987,0.00213,8021009.55,17084.75
2022-01-31,0.00213,0.002144,0.001964,0.002061,8257646.72,17019.5
2022-02-01,0.002061,0.002142,0.001864,0.001987,11299254.54,22451.45
2022-02-02,0.001987,0.002055,0.001895,0.00192,9674032.6,18573.35
2022-02-03,0.00192,0.002058,0.001915,0.002,8748057.56,17496.12
2022-02-04,0.002,0.002089,0.00197,0.002048,10291204.13,21076.86
2022-02-05,0.002048,0.002079,0.001972,0.002073,8091321.2,16773.88
2022-02-06,0.002073,0.002075,0.001894,0.002007,11182288.78,22442.91
2022-02-07,0.002007,0.002422,0.001983,0.002213,13174767.87,29158.54
2022-02-08,0.002213,0.002231,0.002128,0.002178,6439119.02,14025.53
2022-02-09,0.002178,0.00299,0.001853,0.002099,13278776.71,27873.44
2022-02-10,0.002099,0.002366,0.002048,0.00209,13570047.01,28362.59
2022-02-11,0.00209,0.002109,0.001945,0.001976,9918620.77,19598.94
2022-02-12,0.001976,0.002029,0.001917,0.001955,7354032.18,14376.79
2022-02-13,0.001955,0.001989,0.001903,0.001937,6654226.55,12888.8
2022-02-14,0.001937,0.00195,0.001914,0.001934,10224268.08,19773.73
2022-02-15,0.001934,0.001952,0.001882,0.001916,7557455.09,14479.43
